SARL_v60h4k6xm9,SARL_v63vmvzctf,SARL_v646shwf11,SARL_v65sf7npah,SARL_v67aa64utj,SARL_v68f0quk5p,SARL_v6a4ndkf8v,SARL_v6aj88rev9,SARL_v6evvdhzk7,SARL_v6f933l72m,SARL_v6ftpqxgnv,SARL_v6gnqw5ox5,SARL_v6j50z1e9w,SARL_v6k3hhcfwz,SARL_v6k5sw88ad,SARL_v6ktf02s20,SARL_v6kya2dxyh,SARL_v6lgpkenjy,SARL_v6n4gu2b5u,SARL_v6nat83vj0,SARL_v6ne1kg4lj,SARL_v6nw0j2uax,SARL_v6o7dfb9xv,SARL_v6ps9ech69,SARL_v6rt2s4yzx,SARL_v6tg11awsr,SARL_v6uxzaglpt,SARL_v6vxrt8tgj,SARL_v6xuywyznv,SARL_v6yyllsbjc
1,-0.557754228,0.103227064,NaN,-0.488433889,-0.578542623,0.531266619,-0.509427761,-0.663876871,0.991558912,0.829205575,-0.582054446,-0.487850976,-0.74395425,0.254696551,-0.622118786,-0.589029202,0.14783893,-7.53E-05,-0.627643839,0.305125019,-0.356756723,0.581637629,-0.551295196,-0.555972322,0.5393909,0.999959252,0.604044677,-1.08E-25,-0.714210096
1.54E-08,-0.544882952,0.010655827,0.767786403,-0.33453063,0.5,-0.621298661,-0.507464783,0.537711258,0.332859206,-0.519513751,0.754725257,-0.6354506,-0.340850012,-0.777034856,NaN,0.533480635,0.021866588,0.991395,0.551393346,-0.708472407,0.918043254,-0.669192652,-0.5302433,-0.413682234,0.535673403,0.243535785,-0.759173755,1,0.519033029
-1,-0.532308705,0.00109997,-0.612049375,0.770878423,-0.493201605,-0.582446844,0.511187559,-0.613805606,NaN,-0.284632568,-0.402472493,0.524002851,0.843836189,-0.357812518,-0.474209642,0.525970602,0.003234247,-0.991394352,-0.605357377,-0.676900427,0.436542921,-0.38060441,-0.509995297,0.600920584,0.490040565,0.059312096,-0.302674573,-0.999999995,-0.650470155
1,-0.520024635,-0.999886453,0.690740893,-0.472021801,0.426244831,-0.546024557,NaN,0.497155722,0.111738445,-0.448191895,0.318037332,-0.62001039,0.951913711,-0.680227853,0.539124227,0.419262812,0.000478372,-6.54E-07,-0.583862266,-0.646735404,0.207582509,-0.216469377,-0.490520489,0.579708328,-0.513336808,-0.954972699,0.257971903,-4.76E-09,0.561957101
-0.999999985,-0.508024043,-0.093671083,-0.650979283,0.660693734,0.363369312,-0.511879874,0.5092178,0.459658986,NaN,0.613338483,0.134019292,0.395054652,0.386611912,-0.595481565,0.523965084,NaN,-0.999929245,0.991394358,-0.468185604,0.52323043,0.098708502,0.865908704,-0.471789352,-0.536346722,-0.509798877,0.014445206,-0.120673161,1,0.80526352
-1.54E-08,NaN,0.896784657,-0.328929789,0.452512196,0.309768582,-0.479870368,-0.492744369,-0.567510843,-0.112687964,-0.470864175,-0.169599833,0.511270604,0.177130079,-0.521293405,NaN,0.518566291,0.852102279,0.008605642,0.548438794,0.499913473,0.046937329,-0.507513016,0.546226514,-0.517413898,-0.506285329,0.003518068,0.102850678,-0.999999995,-0.621564009
NaN,0.503699611,0.092572448,-0.00110168,-0.323289916,-0.735925487,-0.501955203,0.509154323,-0.524707747,NaN,-0.406221215,0.056475039,-0.614544405,-0.918846099,-0.313234392,-0.490767813,0.511266214,0.126032903,-0.9999253,0.528964755,0.477635601,0.022319383,0.711351146,0.615812469,0.559244856,0.497204003,0.00085681,0.041005481,1,0.581423224
NaN,-0.482338185,0.009555982,-0.000556662,NaN,-0.420449269,-0.470566319,-0.505509369,-0.575009651,0.037509794,0.649547186,-0.071468495,0.400387825,-0.420978446,-0.456347989,-0.604625994,0.413360672,0.018641298,0.999999994,-0.489817797,-0.543649493,0.010613191,-0.12311731,-0.474631828,-0.499149394,0.531981527,-0.232579503,0.016348453,-4.76E-09,0.391544965
NaN,-0.507924248,0.000986436,0.999718727,0.309927697,0.641571345,-0.44986252,0.507192398,0.514867032,NaN,0.560373587,0.02379829,-0.609340818,-0.5638713,0.725789961,0.52303164,0.504068903,0.002757201,-0.991319658,-0.563130406,0.382085362,0.005046727,0.404582122,0.543492582,0.518470379,0.528315096,0.000208672,0.006517956,4.76E-09,0.542284628
-2.38E-16,-0.496202897,0.000101827,0.50514245,NaN,0.372631131,-0.441140283,0.505238034,-0.523965535,0.012591768,0.754443439,-0.030116455,-0.594535025,-0.192875447,0.635367311,0.412374934,NaN,0.000407813,-0.008604994,0.456865305,0.365058317,0.002399792,0.23010674,-0.477261362,0.539503737,-0.50622274,5.08E-05,0.00259864,0,-0.634811946
NaN,0.528792717,-0.999989489,0.255240687,0.212270914,0.317664187,0.586445647,0.5032912,0.468359024,NaN,0.483442256,0.010028477,-0.580088985,-0.088367797,0.55620998,-0.599220261,-0.592458382,-0.999939681,-7.47E-05,-0.47242528,0.348790056,0.001141136,0.130873583,-0.45903654,0.520459471,-0.502733839,-0.999987623,0.00103605,0,-0.736323811
-3.66E-24,0.516589785,0.896774021,-0.871030819,-0.854614669,0.270805435,0.549773302,0.501351868,-0.484446736,0.004226966,-0.582927496,0.004225948,-0.565993954,0.741656776,-0.399493807,NaN,-0.584118094,0.852100735,0.991320306,0.44064287,-0.666753234,0.000542627,0.074434563,-0.4077031,0.50208746,-0.499268984,-0.05664374,0.000413062,0,-0.495858901
NaN,0.515247962,0.09257135,0.559881565,0.414670459,-0.453067061,0.515394197,0.499420009,-0.447908544,0.001418962,-0.502899834,0.001780793,-0.552241406,0.339797402,0.486914477,0.417628668,-0.575895216,-0.873967326,-0.991395,0.54434966,-0.637040405,0.000258027,0.042334779,-0.441507656,-0.499831417,0.524673934,0.756457305,NaN,0,-0.333923807
NaN,-0.496642399,-0.990444131,0.282899517,NaN,0.230858834,0.483164929,0.497495593,-0.566965793,0.000476335,0.650869075,0.000750417,0.498847726,0.155681547,-0.573747836,-0.594114253,-0.567788095,0.870733078,0.999999352,0.424996463,NaN,0.000122696,0.024077974,-0.424648135,-0.482187568,0.504171992,0.184231931,0.000164684,0,0.572501732
-1.54E-08,0.504668459,-0.009669391,0.142944762,0.284009716,0.196804769,-0.42173116,0.495578594,0.475796194,-0.999840098,0.561514,0.000316222,0.4867267,0.071327043,0.497732624,-0.577408895,0.440204898,0.12878855,-0.991319663,-0.590094368,0.480577408,5.83E-05,0.013694387,-0.408432415,-0.46516654,-0.499302775,-0.955131104,-0.999934342,0,-0.224872657
-5.65E-32,0.493022241,0.999001857,0.072227783,0.194519569,-0.832225969,0.452951062,0.49366898,0.439910448,0.664360859,0.484426107,0.000133254,-0.538823018,0.032679192,NaN,-0.56117326,-0.565992053,NaN,-0.008604994,NaN,0.459161217,2.77E-05,0.007788705,0.607164087,-0.448746348,-0.495861567,-0.232618082,0.601336719,-2.26E-17,0.385537009
NaN,NaN,-0.896875971,-0.963504416,-0.221422759,0.290535965,0.424626566,0.491766726,0.406731295,0.223021169,0.417921286,-0.012690919,0.474900191,0.014972296,0.435722531,-0.54539414,-0.558024343,-0.147899264,-7.47E-05,-0.569141218,0.438699406,1.32E-05,0.004429839,0.607865553,0.484363974,0.521057867,-0.01379534,0.239746611,-1,-0.740369719
-8.71E-40,-0.518355217,-0.092581874,-0.166203148,NaN,-0.386234986,0.398073292,0.489871801,0.376054597,-0.925133395,-0.433858833,5.62E-05,0.463361044,-0.993140294,-0.349722811,-0.530058699,-0.550168798,0.019048881,0.991394352,-0.548932075,-0.608651682,-0.999993727,0.002519478,-0.416021232,0.567094218,0.507555924,0.943346864,NaN,-1.08E-25,0.501416483
-1.34E-47,0.49360685,0.89775936,0.513156083,-0.151653472,0.247678907,-0.395358945,0.487984178,0.585873846,0.689439363,0.360546632,2.37E-05,0.452102275,0.544982932,NaN,NaN,-0.542423839,0.978124488,0.008605642,-0.529440521,-0.581528059,-0.169643011,0.001432957,-0.400134942,0.54707602,0.504057835,0.229748081,NaN,-4.76E-09,-0.662333579
1,0.4822159,0.092673063,-0.740710148,-0.103868165,0.211143707,0.37318048,0.496438511,0.347691613,0.231439843,0.311048703,9.97E-06,0.441117072,0.249689331,-0.306152543,-0.515154461,-0.534787908,0.144672619,7.47E-05,-0.510641075,-0.555613158,0.524488437,0.000814997,-0.384855289,-0.472235545,-0.499416145,-0.944045841,0.095584446,1,0.553967975
-2.07E-55,-0.485181398,0.009566368,-0.083979886,0.133227353,-0.820002172,0.349844296,-0.505474416,0.321467836,-0.922307307,0.268346136,4.20E-06,0.430398788,0.114397641,0.381437974,-0.500669302,0.496972912,-0.978601735,6.48E-07,0.525020819,0.419149444,-0.080667719,0.000463531,-0.370159109,-0.455565819,-0.495974156,-0.003359796,0.038108511,-0.999999995,0.373055913
1.54E-08,-0.473984883,0.000987508,0.62573059,NaN,0.300956625,-0.6720326,-0.503526671,0.297221923,NaN,-0.37429618,1.77E-06,0.419940937,0.052412413,0.333916468,-0.486591437,-0.527259473,-0.144743208,5.63E-09,-0.492509163,0.400470695,0.249401881,0.000263634,0.643975879,0.560515472,-0.482533278,0.770081686,-0.048111117,-4.76E-09,-0.748774802
