"rt","responses","time_elapsed","subject","demoID","trialType","rlType","attType","stimulus","key_press","stim","corrresp","phase","corr","pracCounter","reward","bandOne","bandTwo","trialNum","attentionNum","attentionRunNum","blockNum","performance","bandChosen","circleVal","squareVal","coin","bandOneVal","bandTwoVal","pReward","shapeChosen","rlNum","badFlag"
"null","","2313378","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"174","","2313558","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1799","1730","18","70","0.9578034682080925","","","","","","","","","",""
"null","","2314192","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2314349","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"407","","2314764","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1800","1731","19","70","0.9578278451761987","","","","","","","","","",""
"null","","2315164","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","70","","","","","","","","","","",""
"null","","2315323","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"704","","2316032","SARL_v646shwf11","msl000173","rl","","","img/black_2bandit_a2.png","75","","0","test","","","0","square","circle","1801","","0","70","","75","0.2","0.8","0.9368282132222921","0.8","0.2","0.2","circle","70","0"
"null","","2316789","SARL_v646shwf11","msl000173","feedback","","","img/boo_R_a.png","null","","na","test","","","","","","","","","70","","75","0.2","0.8","","","","0.2","","70",""
"326","","2317120","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1802","1732","1","71","0.957852193995381","","","","","","","","","",""
"null","","2317600","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","71","","","","","","","","","","",""
"null","","2317757","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"287","","2318049","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1803","1733","2","71","0.9578765147143682","","","","","","","","","",""
"null","","2318569","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","71","","","","","","","","","","",""
"null","","2318727","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
"244","","2318977","SARL_v646shwf11","msl000173","freq","","","img/orange_2bandit_a2.png","70","","70","test","1","","","square","circle","1804","1734","3","71","0.9579008073817762","","","","","","","","","",""
"null","","2319539","SARL_v646shwf11","msl000173","freq_resp","","","img/orange_2bandit_a.png","70","img/orange_2bandit_a.png","70","test","","","","","","","","","71","","","","","","","","","","",""
"null","","2319696","SARL_v646shwf11","msl000173","fixation","","","img/fixation.png","null","","","test","","","","","","","","","","","","","","","","","","","",""
